checkpoint1,423,298
checkpointA,615.933349609375,90.08332824707031
checkpoint2Fake,123.14999389648438,68.58332824707031
checkpoint2,54.133331298828125,76.98333740234375
checkpointBFake,741.38330078125,244.96665954589844
checkpointB,194.35000610351562,334.6000061035156
checkpoint3Fake,802.9166870117188,49.93333435058594
checkpoint3,649.433349609375,315.183349609375
checkpointCFake,59.73333740234375,122.33332824707031
checkpointC,260.1000061035156,300.4666748046875
checkpoint4Fake,596.933349609375,112.01666259765625
checkpoint4,627.4166870117188,326.3833312988281
checkpointDFake,665.13330078125,38.94999694824219
checkpointD,237.35000610351562,11.433334350585938
checkpoint5Fake,228.35000610351562,248.26666259765625
checkpoint5,635.2000122070312,52.31666564941406
checkpointEFake,322.5,269.1333312988281
checkpointE,138.8333282470703,33.43333435058594
